0	100	0.183801	0.0799427
100	200	0.117833	0.0430204
200	300	0.103505	0.0365392
300	400	0.0965407	0.0334162
400	500	0.0892677	0.029877
500	600	0.085614	0.0280997
600	700	0.0815507	0.0262658
700	800	0.0787439	0.0251273
800	900	0.0768446	0.0244692
900	1000	0.0744047	0.0231533
1000	2000	0.0662337	0.0194786
2000	3000	0.0558428	0.0148553
3000	4000	0.0490179	0.0117183
4000	5000	0.0451173	0.00972211
5000	6000	0.0421084	0.00829037
6000	7000	0.0403972	0.00736242
7000	8000	0.0390829	0.00665251
8000	9000	0.0380863	0.00603635
9000	10000	0.0370033	0.00550999
10000	11000	0.0362194	0.00510352
11000	12000	0.0354692	0.00475112
12000	13000	0.0346525	0.00438768
13000	14000	0.0343196	0.00423073
14000	15000	0.033665	0.00393111
19000	20000	0.0322956	0.00345286
25000	26000	0.0319444	0.0033335
30000	31000	0.0318611	0.00327097
35000	36000	0.0318092	0.00330518
40000	41000	0.0316012	0.0033338
45000	46000	0.0309684	0.00314022
50000	51000	0.0309771	0.00302565
55000	56000	0.0308513	0.00306382
60000	61000	0.0313877	0.00314522
65000	66000	0.0307319	0.00304454
70000	71000	0.0309129	0.00307416
75000	76000	0.0307167	0.00302135
80000	81000	0.0307284	0.0030518
85000	86000	0.0305936	0.00299376
90000	91000	0.0309573	0.00305292
100000	101000	0.0307835	0.00302317
250000	251000	0.0296937	0.0027903
500000	501000	0.0304103	0.00290997
750000	751000	0.0299414	0.0028161
1e+06	1.001e+06	0.0304678	0.00292224
2.5e+06	2.501e+06	0.0304831	0.00300129
5e+06	5.001e+06	0.0292965	0.00273251
1e+07	1.0001e+07	0.0243227	0.0017516
