0	100	0.522156	0.150426
100	200	0.421832	0.1321
200	300	0.392884	0.125161
300	400	0.377103	0.120576
400	500	0.366822	0.116315
500	600	0.359743	0.115138
600	700	0.351124	0.113324
700	800	0.346382	0.110984
800	900	0.337175	0.108049
900	1000	0.336783	0.106637
1000	2000	0.324437	0.10357
2000	3000	0.302217	0.096094
3000	4000	0.278567	0.085218
4000	5000	0.264389	0.0788557
5000	6000	0.257299	0.0745894
6000	7000	0.247111	0.0704631
7000	8000	0.247146	0.0702901
8000	9000	0.244535	0.0689859
9000	10000	0.234643	0.0641078
10000	11000	0.227352	0.061117
11000	12000	0.220053	0.0575735
12000	13000	0.218161	0.0554639
13000	14000	0.221644	0.0576636
14000	15000	0.222815	0.0589281
19000	20000	0.205529	0.0493834
25000	26000	0.198325	0.0458498
30000	31000	0.196308	0.0432547
35000	36000	0.193751	0.0424068
40000	41000	0.197539	0.0454161
45000	46000	0.200862	0.0461493
50000	51000	0.193374	0.0413461
55000	56000	0.197898	0.0435594
60000	61000	0.19191	0.0415693
65000	66000	0.194566	0.0424114
70000	71000	0.193042	0.0419688
75000	76000	0.192556	0.041854
80000	81000	0.189461	0.0418581
85000	86000	0.191443	0.0419349
90000	91000	0.193212	0.0428341
100000	101000	0.191901	0.0423237
250000	251000	0.191253	0.0410352
500000	501000	0.188582	0.0408732
750000	751000	0.185098	0.0387107
1e+06	1.001e+06	0.184982	0.0390022
2.5e+06	2.501e+06	0.183421	0.0377327
5e+06	5.001e+06	0.184481	0.0390002
1e+07	1.0001e+07	0.180261	0.0379776
