0	100	0.432724	0.123614
100	200	0.339599	0.0964381
200	300	0.322762	0.0924345
300	400	0.311233	0.088671
400	500	0.300058	0.0861215
500	600	0.293172	0.0843526
600	700	0.286715	0.0827824
700	800	0.283764	0.0813331
800	900	0.280585	0.0805398
900	1000	0.278758	0.0800284
1000	2000	0.26435	0.0749052
2000	3000	0.245235	0.0680161
3000	4000	0.229292	0.061818
4000	5000	0.216498	0.0568714
5000	6000	0.206686	0.0534908
6000	7000	0.201397	0.0511946
7000	8000	0.195874	0.0491166
8000	9000	0.190777	0.0474686
9000	10000	0.186214	0.0455432
10000	11000	0.184594	0.0449997
11000	12000	0.182903	0.0440429
12000	13000	0.180081	0.0425333
13000	14000	0.178189	0.0424453
14000	15000	0.179887	0.0432769
19000	20000	0.17205	0.0384633
25000	26000	0.170753	0.0379053
30000	31000	0.164905	0.0358665
35000	36000	0.163776	0.0358513
40000	41000	0.16292	0.0346331
45000	46000	0.157417	0.0324188
50000	51000	0.154646	0.0308
55000	56000	0.153031	0.0302741
60000	61000	0.153166	0.0307802
65000	66000	0.149475	0.0298076
70000	71000	0.151748	0.0304477
75000	76000	0.149357	0.0290788
80000	81000	0.147127	0.0284015
85000	86000	0.147629	0.0288962
90000	91000	0.144659	0.0277982
100000	101000	0.145541	0.0273913
250000	251000	0.138508	0.0250873
500000	501000	0.136595	0.0252657
750000	751000	0.137529	0.0250933
1e+06	1.001e+06	0.136811	0.0248993
2.5e+06	2.501e+06	0.135854	0.0244222
5e+06	5.001e+06	0.138227	0.0251721
1e+07	1.0001e+07	0.135543	0.0249792
