0	100	0.168267	0.0686412
100	200	0.0777897	0.0203469
200	300	0.0637482	0.0158608
300	400	0.0571064	0.0137695
400	500	0.0512016	0.0118283
500	600	0.0477023	0.0108011
600	700	0.0447979	0.00992655
700	800	0.042527	0.00933834
800	900	0.0403971	0.00867436
900	1000	0.0389496	0.00837628
1000	2000	0.0328367	0.00664601
2000	3000	0.0254157	0.00453838
3000	4000	0.0209877	0.00322923
4000	5000	0.0180787	0.00230205
5000	6000	0.0160989	0.00175824
6000	7000	0.0152874	0.00146288
7000	8000	0.0145011	0.00125492
8000	9000	0.0140766	0.0011259
9000	10000	0.0137012	0.000984003
10000	11000	0.0133368	0.000887678
11000	12000	0.0129613	0.000790572
12000	13000	0.0126284	0.000693464
13000	14000	0.0124982	0.000619629
14000	15000	0.0122214	0.000570775
19000	20000	0.0118018	0.000476744
25000	26000	0.0115007	0.000393733
30000	31000	0.0111802	0.000355424
35000	36000	0.0111761	0.000336166
40000	41000	0.0110634	0.000320767
45000	46000	0.0109766	0.000312329
50000	51000	0.0110184	0.000316152
55000	56000	0.0108891	0.000306143
60000	61000	0.0109389	0.000315872
65000	66000	0.0108068	0.00030356
70000	71000	0.0108193	0.000294495
75000	76000	0.0108166	0.000304331
80000	81000	0.0107878	0.000295165
85000	86000	0.0108054	0.000291393
90000	91000	0.0108964	0.000325033
100000	101000	0.0107992	0.000303176
250000	251000	0.0105393	0.000278039
500000	501000	0.0104115	0.000268325
750000	751000	0.0103533	0.000258449
1e+06	1.001e+06	0.010407	0.000268243
2.5e+06	2.501e+06	0.0102215	0.000256657
5e+06	5.001e+06	0.00997738	0.000240991
1e+07	1.0001e+07	0.00950272	0.000218274
